PERMIT_ID,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,NAMEADDR,APN
N201606291163,2,1,0,0,116 VIRGINIA AV,5643035
N201403100278,3,1,0,0,1181 VALENCIA ST,3636027
N200710155355,2,1,0,0,1196 HAMPSHIRE ST,4210013
N201507141495,52,52,0,0,1198 VALENCIA ST,3635014
N201312234917,263,263,34,34,1201 - 1225 TENNESSEE ST,4172022
N200605111391,2,2,0,0,1208 15TH AV,1736033
N201405236581,3,2,0,0,1236 ARGUELLO BL,1265019
N201507161644,37,37,4,4,1238 SUTTER ST,0670011
N201507272485,143,143,0,0,1300 04TH ST,8711021
N201009080449,4,4,0,0,136 PIXLEY ST,0516028A
N201404223881,14,14,2,2,1463 LOMBARD ST,0503021
N200810315636,15,15,0,0,1490 OCEAN AV,3197010
N201406138394,431,431,50,50,150 VAN NESS AV,0814001
N201411262632,3,2,0,0,151 BERNARD ST,0156015A
N201603222793,5,1,0,0,1528 15TH ST,3548021
N201509086337,2,1,0,0,1531 44TH AV,1890005
N201312033256,107,107,12,12,1545 PINE ST,0667016
N201507232260,2,1,0,0,1121 FELTON ST,5971029
N201502107933,2,1,0,0,1110 YORK ST,4209002
N201411101145,112,112,13,13,1140 FOLSOM ST,3730015
N201304295719,2,1,0,0,1259 21ST AV,1729012
N201412194190,1,1,0,0,127 23RD AV,1383004
N201310119147,3,1,0,0,1302 YORK ST,4274001
N201306199977,9,9,0,0,131 MISSOURI ST,3985024
N201510210391,2,1,0,0,1318 COLE ST,1286024
N200804038738,3,2,0,0,1321 DE HARO ST,4218036
N201504012491,2,1,0,0,1330 HAMPSHIRE ST,4275003
N201507131253,2,1,0,0,1331 SAN BRUNO AV,4262020A
N201306280738,23,23,0,0,1450 15TH ST,3549064
N200809252660,69,69,9,9,1450 FRANKLIN ST,0671006
N201302250862,3,1,0,0,1451 MARIPOSA ST,4004034
N201510169913,3,1,0,0,1453 18TH AV,1835010
N201506199431,3,1,0,0,1555 FRANCISCO ST,0482030
N200810315629,1,1,0,0,160 SAN MARCOS AV,2861011
N200412171712,27,27,0,0,1601 LARKIN ST,0620006
N200607106046,1,1,0,0,162 BREWSTER ST,5556019
N200807176988,2,2,0,0,165 - 167 BRUSSELS ST,5926021
N201601076555,2,1,0,0,17 OTTAWA AV,7044A018
N200908124639,19,18,0,0,1731 - 1741 POWELL ST,0101004
N201511203266,2,1,0,0,1738 FILBERT ST,0520008
N201312305300,2,1,0,0,1749 DOLORES ST,6659006
N201305157021,1,1,0,0,175 BREWSTER ST,5577012
N201310159297,2,1,0,0,1756 REVERE AV,5338018
N201307151824,1,1,0,0,1762 12TH AV,2038A018
N201306068876,1,1,0,0,1769 11TH AV,2038A013
N201509227704,2,1,0,0,1780 REVERE AV,5338025
N201210242702,8,8,0,0,1785 15TH ST,3555036
N201305015894,140,140,0,0,181 FREMONT ST,3719010
N201310119178,7,7,0,0,1823 TURK ST (RESIDENTIAL),1153020
N201508214923,3,1,0,0,1824 15TH ST,3545097
N200602215057,35,35,0,0,1860 VAN NESS AV,0619012
N201205039740,2,1,0,0,188 BROAD ST,7107023
N201210041365,3,2,0,0,1880 GOLDEN GATE AV,1152018
N201012106469,1,1,0,0,1927 ALEMANY BL,6959030
N200908033985,1,1,0,0,194 SWEENY ST,5858024
N201405125450,2,2,0,0,1947 OAKDALE AV,5319037
N201504153723,3,1,0,0,1967 HAYES ST,1210031
N201509237900,2,1,0,0,2 VESTA ST,5403001
N201211295086,67,67,67,67,200 - 214 06TH ST,3731001
N200910209344,2,2,0,0,200 BROAD ST,7106058
N200910209343,2,2,0,0,202 BROAD ST,7106059
N201307021054,2,1,0,0,203 RUSSIA AV,6086012C
N201010253666,3,3,0,0,2034 CLEMENT ST,1412019
N201406279814,97,97,12,12,2051 03RD ST,3994001B
N201009171084,1,1,0,0,21 MOUNTAIN SPRING AV,2709065
N201510028709,2,1,0,0,210 FREDERICK ST,1254019
N201311222660,77,77,0,0,2101 & 2155 WEBSTER ST,0629037
N201506199483,2,1,0,0,2130 SANTIAGO ST,2317016G
N201506037942,2,1,0,0,2142 34TH AV,2184034
N201312134180,87,87,10,10,2198 MARKET ST,3542039
N201210091512,2,1,0,0,2207 25TH ST,4282A023
N201405085281,2,1,0,0,2237 UNION ST,0539031
N200806164548,76,37,0,0,226 06TH ST,3731003
N201411212273,2,1,0,0,2308 21ST AV,2349038
N201401247066,22,22,0,0,233 - 237 SHIPLEY ST,3753096
N201501125418,2,1,0,0,239 14TH AV,1419007
N201503171144,1,1,0,0,2405 32ND AV,2393002
N201506159021,28,28,0,0,241 10TH ST,3518020
N201205251254,2,1,0,0,2851 FILBERT ST,0948018
N201302069581,1,1,0,0,287 CRESTA VISTA DR,2993088
N201412012693,1,1,0,0,2877 FOLSOM ST,6521025
N201212045418,4,2,0,0,2881 MISSION ST,6517022
N201405125497,2,1,0,0,2909 BUSH ST,1055021
N200711077585,1,1,0,0,262 MADISON ST,5943050
N201511021415,2,1,0,0,60 NORTON ST,3148014A
N201404173481,1,1,0,0,60 SANTA BARBARA AV,7173011
N201401136108,27,27,4,4,600 SOUTH VAN NESS AV,3575070
N201512225698,3,1,0,0,2477 LOMBARD ST,0937022
N201405226523,1,1,0,0,2495 HARRISON ST,4084018
N201401226857,1,1,0,0,2528 UNION ST,0945012
N200809262740,2,1,0,0,2626 LARKIN ST,0069011
N200711077587,80,77,0,0,268 MADISON ST,5943008
N201304164662,3,2,0,0,272 CLARA ST,3753076
N200906261414,2,1,0,0,279 MONTEREY BL,6771032
N201402047761,56,56,7,7,2800 SLOAT BL,2515001
N201504244517,2,1,0,0,2930 ANZA ST,1524018A
N201504103363,3,2,0,0,2944 21ST ST,3612017
N201009271661,2,2,0,0,3020 LAGUNA ST,0519029
N201602018541,1,1,0,0,32 HERON ST,3755049
N201106238762,2,1,0,0,322 29TH AV,1405045
N201504022624,3,1,0,0,325 CLIPPER ST,6554037
N201306129341,2,2,0,0,333 PENNSYLVANIA AV,4040025
N201410017778,1,1,0,0,339 CRESCENT AV,5744016
N201311041054,16,16,0,0,3420 18TH ST,3576090
N201303273113,75,75,8,8,344 - 388 FULTON ST,0785029
N201307242711,2,1,0,0,344 HOLLOWAY AV,6942028
N201303293381,2,1,0,0,349 RICHLAND AV,5721077
